created_at	full_text	screen_name	edited_text
Sun May 19 16:05:00 +0000 2019	Los nutricionistas denuncian que la «dieta del cajón» de los centros de salud «no tiene ninguna utilidad» https://t.co/AhfPDSqPNR	abc_es	nutricionistas denuncian « dieta cajón » centros salud « ninguna utilidad »
Sun May 19 16:00:01 +0000 2019	Román Escolano: «Cuando los tipos suban seremos conscientes del problema de la deuda» https://t.co/AD4Kg5HIKE	abc_es	Román Escolano « tipos suban conscientes problema deuda »
Sun May 19 15:55:45 +0000 2019	Los locos caprichos de Marilyn Monroe, una pesadilla con escote en «Con faldas y a lo loco» https://t.co/jnKqxrhcj0 Por @luciacab	abc_es	locos caprichos Marilyn Monroe pesadilla escote « faldas loco » luciacab
Sun May 19 15:55:00 +0000 2019	Los Mossos detienen a tres jóvenes que planificaban un asesinato en Barcelona https://t.co/ZbBqT0dFmm	abc_es	Mossos detienen tres jóvenes planificaban asesinato Barcelona
Sun May 19 15:50:00 +0000 2019	Sérgio Conceiçao, entrenador del Oporto, a golpes por defender a su hijo https://t.co/47FPQCkLQc	abc_es	Sérgio Conceiçao entrenador Oporto golpes defender hijo
Sun May 19 15:45:00 +0000 2019	Destapan en Burgos una trama de administración irregular de medicamentos en animales https://t.co/SGxhPoyeif	abc_es	Destapan Burgos trama administración irregular medicamentos animales
Sun May 19 15:40:00 +0000 2019	Una españolizada Deliveroo deja en el aire la salida a Bolsa https://t.co/IVJruracYL	abc_es	españolizada Deliveroo deja aire salida Bolsa
Sun May 19 15:35:00 +0000 2019	Casado compara a Junqueras y otros independentistas presos con Tejero y Armada: «No lo vamos a consentir» https://t.co/r6rI70mT58	abc_es	Casado compara Junqueras independentistas presos Tejero Armada « vamos consentir »
Sun May 19 15:33:43 +0000 2019	🔵 #DIRECTO Real Madrid-Fenerbahçe en directo https://t.co/v3vkYco5Wa	abc_es	🔵 DIRECTO Real Madrid-Fenerbahçe directo
Sun May 19 15:32:43 +0000 2019	RT @abc_deportes: 🔵Nadal arrasa a Djokovic en el primer set (6-0). Sigue la final del Masters 1.000 de Roma en directo https://t.co/ehJ7xF0…	abc_es	abc_deportes 🔵Nadal arrasa Djokovic primer set 6-0 Sigue final Masters 1.000 Roma directo
Sun May 19 15:30:00 +0000 2019	Lady Gabriella y Thomas Kingston, la boda más discreta de Windsor https://t.co/MgngmIvPk2	abc_es	Lady Gabriella Thomas Kingston boda discreta Windsor
Sun May 19 15:25:01 +0000 2019	Josep Borrell, en Valencia: «No hay nada más innoble que explotar el miedo de la gente frente al inmigrante» https://t.co/uoAZ1U3ywI	abc_es	Josep Borrell Valencia « innoble explotar miedo gente frente inmigrante »
Sun May 19 15:20:00 +0000 2019	«El único voto para sacar a Xulio Ferreiro es el del PP» https://t.co/tx4m96aWSV	abc_es	« único voto sacar Xulio Ferreiro PP »
