created_at	full_text	screen_name	edited_text
Tue May 07 12:38:11 +0000 2019	"La científica del @CSIC y pionera de las pruebas de ADN Margarita Salas es una de las finalistas al Premio Inventor Europeo 2019, que entrega anualmente la 
@EPOorg ¡Enhorabuena! 👏
https://t.co/chHMKL3saS"	CSIC	científica CSIC pionera pruebas ADN Margarita Salas finalistas Premio Inventor Europeo 2019 entrega anualmente EPOorg ¡Enhorabuena 👏
Tue May 07 11:09:43 +0000 2019	El de la derecha es Álvaro jugando con Jens. Álvaro ha recibido hoy una donación de Fundación SEUR para cubrir su tratamiento basado en el exoesqueleto hasta finales de año https://t.co/wvnzzQgJaL	CSIC	derecha Álvaro jugando Jens Álvaro recibido hoy donación Fundación SEUR cubrir tratamiento basado exoesqueleto finales año
Tue May 07 10:53:25 +0000 2019	"Jens lleva uno de los exoesqueletos  que utiliza en terapia. Ayudan a ""llenarlo de energía"". https://t.co/b6mp4rGk7I"	CSIC	Jens lleva exoesqueletos utiliza terapia Ayudan llenarlo energía ''
Tue May 07 10:41:43 +0000 2019	La nueva instalación en el Centro de Automática y Robótica (CSIC-@La_UPM) tiene como objetivo avanzar en la investigación multidisciplinar. Médicos, fisioterapeutas, científicos y psicólogos, en un mismo espacio.	CSIC	nueva instalación Centro Automática Robótica CSIC- La_UPM objetivo avanzar investigación multidisciplinar Médicos fisioterapeutas científicos psicólogos mismo espacio
Tue May 07 10:38:30 +0000 2019	"""Esta plataforma de vanguardia es única en el mundo. A los pacientes se les ofrece la última tecnología en exoesqueletos de marcha"", afirma la presidenta del @CSIC #marsicare https://t.co/dn7BtXrVm0"	CSIC	plataforma vanguardia única mundo pacientes ofrece última tecnología exoesqueletos marcha '' afirma presidenta CSIC marsicare
Tue May 07 10:35:43 +0000 2019	Empezamos la presentación de Marsi Care, un nuevo laboratorio de robótica para investigar en terapia de las enfermedades neurológicas #marsicare https://t.co/7a2YBgn4aJ	CSIC	Empezamos presentación Marsi Care nuevo laboratorio robótica investigar terapia enfermedades neurológicas marsicare
Mon May 06 18:59:51 +0000 2019	RT @FECYT_Ciencia: La neuroplasticidad permite a las neuronas regenerarse tanto anatómica como funcionalmente y formar nuevas conexiones si…	CSIC	FECYT_Ciencia neuroplasticidad permite neuronas regenerarse anatómica funcionalmente formar nuevas conexiones si…
Mon May 06 16:43:21 +0000 2019	RT @LluisMontoliu: En el programa de hoy de @orbitalaika_tve han colaborado varios compañeros y compañeras del @CNB_CSIC @ReescribirC Graci…	CSIC	LluisMontoliu programa hoy orbitalaika_tve colaborado varios compañeros compañeras CNB_CSIC ReescribirC Graci…
Wed May 22 17:06:15 +0000 2019	Un repaso a la misión Kepler aflora 18 planetas del tamaño de la Tierra https://t.co/SZiIF2uBC1	cienciaplus	repaso misión Kepler aflora 18 planetas tamaño Tierra
Wed May 22 16:36:40 +0000 2019	Capas de hielo masivas han perdurado bajo el polo norte de #Marte https://t.co/fav8tQveg6	cienciaplus	Capas hielo masivas perdurado bajo polo norte Marte
Wed May 22 16:00:49 +0000 2019	Pruebas de que el #cannabis se originó en el #Tibet https://t.co/s4pVUojZRo	cienciaplus	Pruebas cannabis originó Tibet
Wed May 22 15:36:45 +0000 2019	Tres #exocometas detectados en #BetaPictoris, a 60 millones de años luz https://t.co/ibRcZFDFGv	cienciaplus	Tres exocometas detectados BetaPictoris 60 millones años luz
Wed May 22 15:11:15 +0000 2019	Envía tu nombre a #Marte con la misión Mars 2020 de la NASA https://t.co/FyxiqZzOhw	cienciaplus	Envía nombre Marte misión Mars 2020 NASA
Wed May 22 12:57:56 +0000 2019	Hallazgo único. Un #dinosaurio cuadrúpedo que se hacía bípedo de adulto https://t.co/QFKss020a1	cienciaplus	Hallazgo único dinosaurio cuadrúpedo hacía bípedo adulto
Wed May 22 12:27:37 +0000 2019	El deterioro articular, nuevo desafío para largas misiones espaciales https://t.co/bsF4p3gjpa	cienciaplus	deterioro articular nuevo desafío largas misiones espaciales
Wed May 22 11:27:14 +0000 2019	#VÍDEO Espectaculares nubes noctilucentes recorren el cielo de #Marte https://t.co/oCR2ZT7WtJ	cienciaplus	VÍDEO Espectaculares nubes noctilucentes recorren cielo Marte
Wed May 22 10:35:27 +0000 2019	El amonio fertilizó la vida temprana en la Tierra https://t.co/FeS3RMboeS	cienciaplus	amonio fertilizó vida temprana Tierra
Wed May 22 09:36:19 +0000 2019	Los grandes ríos de #China modelaron genéticamente a su población https://t.co/81U2IRx14J	cienciaplus	grandes ríos China modelaron genéticamente población
Wed May 22 09:23:00 +0000 2019	Dos enanas blancas renacidas por una fusión https://t.co/mat6QjLOv0	cienciaplus	Dos enanas blancas renacidas fusión
Wed May 22 09:06:40 +0000 2019	Evidencias de contagio emocional negativo en cuervos https://t.co/TaFjeTWUL6	cienciaplus	Evidencias contagio emocional negativo cuervos
Wed May 22 08:46:44 +0000 2019	Un viejo enfoque del problema matemático más famoso recobra utilidad https://t.co/CmJgPzZ3mp	cienciaplus	viejo enfoque problema matemático famoso recobra utilidad
Wed May 22 08:20:41 +0000 2019	RT @europapress: #AMPLIACIÓN | Muere el divulgador científico Eduard Punset a los 82 años tras una larga enfermedad https://t.co/AInbA4z3Li…	cienciaplus	europapress AMPLIACIÓN Muere divulgador científico Eduard Punset 82 años larga enfermedad
